Adlt_daf-2;daf-16::AID_ppm,Adlt_daf-2;daf-16::AID_plate,dauer_daf-2;daf-16::AID_ppm,dauer_daf-2;daf-16::AID_plate,dauer_daf-2_ppm,dauer_daf-2_plate
246,Plate 1,1,Plate 1,0,Plate 1
210,Plate 1,3,Plate 1,0,Plate 1
198,Plate 1,5,Plate 1,0,Plate 1
189,Plate 1,22,Plate 1,0,Plate 1
219,Plate 1,3,Plate 1,1,Plate 1
210,Plate 1,8,Plate 1,0,Plate 1
231,Plate 1,0,Plate 1,0,Plate 1
252,Plate 1,2,Plate 1,0,Plate 1
183,Plate 1,23,Plate 2,0,Plate 2
243,Plate 1,0,Plate 2,0,Plate 2
237,Plate 2,0,Plate 2,0,Plate 2
237,Plate 2,7,Plate 2,0,Plate 2
252,Plate 2,15,Plate 2,7,Plate 2
240,Plate 2,0,Plate 2,0,Plate 2
228,Plate 2,20,Plate 2,0,Plate 2
231,Plate 2,1,Plate 2,0,Plate 2
258,Plate 2,NaN,NaN,NaN,NaN
243,Plate 2,NaN,NaN,NaN,NaN
270,Plate 2,NaN,NaN,NaN,NaN
252,Plate 2,NaN,NaN,NaN,NaN
